date,ticker,actual_eps,estimate_eps,surprise_pct,quarter,year
2025-03-31,AAPL,1.65,1.6596,-0.005784526391901695,2,2025
2025-06-30,AAPL,1.57,1.4626,0.07343087652126362,3,2025
2025-09-30,AAPL,1.85,1.8075,0.0235131396957123,4,2025
2025-12-31,AAPL,2.84,2.7257,0.0419341820449793,1,2026
2025-03-31,AMZN,1.59,1.3893,0.14446123947311604,1,2025
2025-06-30,AMZN,1.68,1.3545,0.24031007751937977,2,2025
2025-09-30,AMZN,1.95,1.605,0.21495327102803738,3,2025
2025-12-31,AMZN,1.95,2.011,-0.030333167578319324,4,2025
2025-03-31,GOOGL,2.27,2.0726,0.09524269034063496,1,2025
2025-06-30,GOOGL,2.31,2.25,0.02666666666666669,2,2025
2025-09-30,GOOGL,3.1,2.3954,0.29414711530433335,3,2025
2025-12-31,GOOGL,2.82,2.7063,0.04201308058973494,4,2025
2025-03-31,META,6.43,5.3859,0.19385803672552393,1,2025
2025-06-30,META,7.14,6.0352,0.1830593849416755,2,2025
2025-09-30,META,7.25,6.8245,0.06234889002857359,3,2025
2025-12-31,META,8.88,8.3992,0.057243547004476654,4,2025
2025-03-31,MSFT,3.46,3.2846,0.05340071850453625,3,2025
2025-06-30,MSFT,3.65,3.4368,0.06203445065176911,4,2025
2025-09-30,MSFT,4.13,3.7391,0.10454387419432479,1,2026
2025-12-31,MSFT,4.14,4.0345,0.02614946089973956,2,2026
2025-06-30,NVDA,0.96,0.9521,0.00829744774708541,1,2026
2025-09-30,NVDA,1.05,1.0281,0.02130142982200178,2,2026
2025-12-31,NVDA,1.3,1.2746,0.019927820492703665,3,2026
2026-03-31,NVDA,1.62,1.5634,0.03620314698733543,4,2026
2025-03-31,TSLA,0.27,0.399,-0.3233082706766917,1,2025
2025-06-30,TSLA,0.4,0.4373,-0.08529613537617196,2,2025
2025-09-30,TSLA,0.5,0.5586,-0.1049051199427139,3,2025
2025-12-31,TSLA,0.5,0.4559,0.09673173941653865,4,2025
