sector,count,equal_weight,risk_parity_weight,avg_volatility,risk_contrib_ew,risk_contrib_rp,value_score,quality_score,ew_pct,rp_pct,risk_ew_pct,risk_rp_pct
Basic Materials,27,0.08463949843260188,0.07165774107833696,0.025464650624102494,0.09563467550946991,0.08463949843260188,50.0,50.0,8.463949843260188,7.165774107833696,9.563467550946992,8.463949843260188
Broad Market ETF,3,0.009404388714733543,0.01470444865882738,0.012376995976901497,0.005164763112885752,0.009404388714733543,50.0,50.0,0.9404388714733543,1.470444865882738,0.5164763112885752,0.9404388714733543
Communication Services,14,0.0438871473354232,0.04219414449972556,0.021292572438695152,0.04146389266051173,0.0438871473354232,50.0,50.0,4.38871473354232,4.2194144499725565,4.146389266051173,4.38871473354232
Consumer Cyclical,31,0.09717868338557993,0.0865434057531683,0.02504832917050772,0.10800761052201073,0.09717868338557994,50.0,50.0,9.717868338557993,8.65434057531683,10.800761052201073,9.717868338557995
Consumer Defensive,21,0.06583072100313479,0.09309395758622326,0.014982125085372468,0.04376295265554443,0.06583072100313479,50.0,50.0,6.583072100313479,9.309395758622326,4.376295265554443,6.583072100313479
ETF - Other,6,0.018808777429467086,0.023554015605949143,0.017664746204461727,0.014742548153939442,0.018808777429467086,50.0,50.0,1.8808777429467085,2.355401560594914,1.4742548153939443,1.8808777429467085
Energy,22,0.06896551724137931,0.05448583132282348,0.0270928230999436,0.08290693207238892,0.06896551724137931,50.0,50.0,6.896551724137931,5.448583132282348,8.290693207238892,6.896551724137931
Financial Services,30,0.09404388714733541,0.11066972716995771,0.017401721534850555,0.07261517225313473,0.09404388714733543,50.0,50.0,9.40438871473354,11.066972716995771,7.261517225313472,9.404388714733543
Healthcare,37,0.11598746081504702,0.1130775591618818,0.02120877951812684,0.10915190099902611,0.11598746081504703,50.0,50.0,11.598746081504702,11.30775591618818,10.915190099902611,11.598746081504704
Industrials,32,0.10031347962382445,0.10676488693810826,0.021201979218750968,0.09437137553660359,0.10031347962382446,50.0,50.0,10.031347962382444,10.676488693810827,9.437137553660358,10.031347962382446
Other,1,0.003134796238244514,0.0030119070938827647,0.01981424392089913,0.002756077384834585,0.0031347962382445144,50.0,50.0,0.3134796238244514,0.30119070938827647,0.27560773848345854,0.31347962382445144
Precious Metals,11,0.034482758620689655,0.03692246752355653,0.019792700097909188,0.03028388803361615,0.034482758620689655,50.0,50.0,3.4482758620689653,3.6922467523556532,3.028388803361615,3.4482758620689653
Real Estate,11,0.034482758620689655,0.04414601650647166,0.015131784420873583,0.02315243816577407,0.034482758620689655,50.0,50.0,3.4482758620689653,4.414601650647166,2.3152438165774067,3.4482758620689653
Technology,55,0.17241379310344826,0.1211974814138682,0.03072419222134262,0.2350482734926925,0.1724137931034483,50.0,50.0,17.241379310344826,12.11974814138682,23.50482734926925,17.24137931034483
Utilities,18,0.05642633228840125,0.07797640968721882,0.016350645547285776,0.04093749944756728,0.05642633228840126,50.0,50.0,5.642633228840125,7.797640968721882,4.093749944756728,5.6426332288401255
