ticker,sector,weight,model_score,value_score,quality_score,domain_score
MRVL,Technology,0.10026010124827965,0.6246118710419848,50.0,50.0,25.312305935520993
RIVN,Consumer Cyclical,0.10025165662452984,0.6203479036770126,50.0,50.0,25.310173951838507
LCID,Consumer Cyclical,0.10014178122074735,0.564868210345288,50.0,50.0,25.282434105172644
JD,Consumer Cyclical,0.10004657697640724,0.5167964663694956,50.0,50.0,25.25839823318475
WBD,Communication Services,0.10000467515789296,0.49563886456613426,50.0,50.0,25.247819432283066
XEL,Utilities,0.09998558399942252,0.4859991128034469,50.0,50.0,25.242999556401724
CSCO,Technology,0.09985468674825117,0.41990479958182064,50.0,50.0,25.20995239979091
GILD,Healthcare,0.09984009953527291,0.41253923754758215,50.0,50.0,25.20626961877379
NET,Technology,0.09982933238862515,0.4071025522339224,50.0,50.0,25.20355127611696
DXCM,Healthcare,0.09978550610057138,0.3849732226716476,50.0,50.0,25.192486611335823
